구분,용어,개념
51,반소원고,"소송계속중에 피고가 그 소송절차를 이용하여 원고에 대하여 제기하는 소로서, 이에 의하여 청구의 추가적 병합이 발생하는 반소의 원고인"
52,반소피고,원고가 제기한 소송에 대해 피고가 반소를 제기할 경우 그 반소의 피고가 되는 당사자
53,반심청구인,법원 또는 준사법 기관에 의해 판단을 받는 절차인 심판 중에 반대 청구를 제기한 사람
54,반심판상대방,심판청구에 대해 반대하는 입장을 취하는 당사자
55,반심판청구인,"반심판청구인은 주로 특허나 상표 관련 분쟁에서 사용되는 용어로, 이는 특허심판이나 상표심판 등의 절차에서 상대방이 제기한 심판청구에 대해 방어하거나 대응하면서 역으로 심판을 청구하는 사람을 의미"
56,배상신청인,피고인에게 배상을 청구하는 사람
57,배상신청인(당심),"현재 진행 중인 재판 단계, 즉 심급에서 배상을 청구하는 사람"
58,배상신청인(원심),"이전 재판 단계, 즉 1심 또는 이전의 재판에서 배상을 청구한 사람"
59,배심원,법에 따라 형사재판에 참여하도록 선정된 사람
60,범죄인,법률에 의해 정의된 범죄를 저지른 사람
61,변론관여 검사,특정 사건의 재판 과정에서 법원에 출석하여 검사의 주장을 직접 변론하는 검사
62,변호사,"법률 전문 교육을 받았고, 자격을 갖춘 법률 서비스 제공자로 일반적으로 변호인"
63,변호인,"형사 소송에서 법적 절차에서 당사자를 대리하는 역할을 맡은 사람으로, 일반적으로 변호사"
64,변호인(국선),국가가 비용을 부담하여 피고인이나 원고에게 제공하는 변호인
65,변호인(사선),개인이나 법인이 자율적으로 선택하여 선임한 변호인
66,병합사건,관련 사건은 결국 검사나 피고인의 신청에 의하여 한 개의 법원이 병합하여 심리하는 사건
67,병합사건상대방,1인이 저지른 여러 건의 범죄 관련 사건의 상대방
68,병합사건청구인,"여러 사건을 병합하여 심리하는 경우, 청구한 당사자"
69,병합원고,하나의 청구를 두 명 이상의 원고가 공동으로 제기하는 상황에서의 원고
70,병합피고,"한 소송에서 원고가 여러 명의 피고를 상대로 소송을 제기했을 때, 그 소송에 참여하는 피고"
71,보조인,일정한 신분관계에 의한 정의에 의하여 피고인 또는 피의자의 이익을 보호하는 보조자
72,보조참가인,소송의 결과에 법률상 이해관계가 있는 제3자가 소송당사자의 한 편을 돕기 위해 참가하는 사람으로 소송의 당사자는 아님
73,보호관찰명령,형사 재판에서 피고인에게 실형 대신 사회 내에서의 특정한 관리와 감독 하에 생활할 것을 명령하는 제도
74,보호소년,"「소년법」제32조제1항제7호부터 제10호까지의 규정에 따라 가정법원소년부 또는 지방법원소년부(이하 ""법원소년부"")로 부터 위탁되거나 송치된 소년"
75,보호자,친권자ㆍ후견인 그 밖의 자로서 유아를 사실상 보호하는 자
76,본소원고,"반소, 독립참가의 소에 상대되는 개념으로 처음부터 계속중인 소송의 원고"
77,본소원고 피상고인,본소원고 피상고인으로 피상고인과 동의어
78,본소피고,"반소, 독립참가의 소에 상대되는 개념으로 처음부터 계속중인 소송의 피고"
79,본안원고 공소인,"본안원고, 공소인 인, 공소인과 동의어"
80,본안피고,원심에서의 피고
81,부대상고,피상고인이 상고에 부대하여 원판결을 자기에게 유리하게 변경할 것을 신청하는 절차
82,부대상고인,"주된 상고의 대상인 피상고인이자, 자신의 주장을 유리하게 하기 위해 추가적인 주장을 상고에 부대시키는 자"
83,부대상고허가상대방,피상고인에게 불리한 부분의 변경을 요구하는 부대상고의 허가 상대방
84,부대상고허가신청인,"부대상고를 하기 위해 상고허가가 필요한 경우에, 그 허가를 신청하는 부대상고인"
85,부대상소,"민사 소송법에서, 피상소인이 상소인의 상소에 덧붙여서 원심 재판을 자기에게도 유리하게 변경시킬 것을 신청하는 상소로 상소의 종류에 따라 부대 상고, 부대 항소, 부대 항고 등이 있음"
86,부대재항고인,주된 재항고에 덧붙여서 재항고를 제기한 당사자
87,부대피상고인,"부대상고인의 반댓말, 주된 상고의 상고인이자 부대상고의 대상이 되는 피상고인"
88,부대피항소인,"부대항소의 절차에서 원고가 항소를 제기한 경우, 그 항소의 대상이 되는 상대방으로 하급 법원에서의 판결에 대해 항소를 당한 당사자"
89,부대항소인,항소심에서의 부대 상소로 독립적으로 항소하지 않고 상대편의 항소에 덧붙여서 항소하는 자
90,부재자,"법정이나 법적 절차에 출석하지 않거나, 존재하지 않는 사람"
91,비상,"정상적인 상소 절차가 아닌, 확정 판결에 법령 위반이 있을 때 비상한 상황에서 제기하는 상고"
92,비상상고인,최종 확정 판결에 법령의 중대한 위반이 있음을 주장하며 이를 시정하기 위해 제기하는 상소인으로 주로 검찰총장임
93,비약상고인,2심인 항소심을 거치지 않고 바로 3심인 상고심으로 넘어가는 절차로 1심 판결에 불복하여 비약상고를 제기하는 사람
