구분,용어,개념
249,치료명령,질병이나 중독 상태의 치료를 법원이 명령하는 제도
250,치료명령피청구자,치료명령의 대상이 되는 사람 (=피치료명령청구자)
251,탈퇴피고,소송절차에서 탈퇴한 피고
252,특별검사,고위 공직자의 비리나 위법 혐의에 대하여 수사하는 임시 수사 기구 또는 그 수사를 담당하는 검사
253,특별검사보,특별 검사를 보좌하는 직책 또는 그런 직위에 있는 사람
254,특별상고,일반적인 상고와는 달리 법원에서 인정하는 특정한 이유나 사유로 제기되는 상고로 특별한 법적 절차와 요건을 따름
255,특별항고,"불복할 수 없는 결정·명령에 대하여 재판에 영향을 미친 헌법 위반이 있거나, 재판의 전제가 된 명령·규칙·처분의 헌법·법률의 위반여부에 대한 판단이 부당하다는 것을 이유로 대법원에 직소하는 항고"
256,특별항고인,형사 사건이나 민사 사건에서 항소심 법원에 특별항고를 제기하는 당사자
257,특별항고인(위반자),"특별항고를 제기한 자가 법률, 명령, 약속 따위를 지키지 않고 어긴 자"
258,특별항고인(유치권자),특별항고를 제기한 자가 타인의 물건 또는 유가증권을 점유하고 있는 자
259,특별항고인(피신청인),특별항고 절차의 대상이 된 당사자
260,파산관재인,파산재원에 속하는 재산의 관리를 행하는 파산절차상의 공적인 관계
261,피감호인,"국가 또는 기관이 법적, 사회적, 또는 행정적 보호 조치를 제공하는 감호(보호) 대상이 되는 자"
262,피감호청구인,감호를 요청받은 당사자로 주로 정신적 장애가 있는 사람에 대한 법원의 보호 및 감독을 요청
263,피고,"민사사건상 원고에 상대되는 개념으로 소를 받는 측의 당사자, 즉 제1번소송에 있어서 수동적당사자를 말함"
264,피고 법정대리인,"피고가 소송에 직접 참여할 수 없거나, 법적 능력이 부족한 경우에 소송에서 피고를 대신해 법정에서 그 역할을 수행하는 사람"
265,피고(소외1소송수계인),모든 권리와 소송을 넘겨받아서 소외가 된 소외1의 소송수계인인 피고
266,피고(예비적),원고의 주장이 받아들여지지 않을 경우를 대비하여 추가적인 주장을 하는 피고
267,피고(주1),피고에 주석1이라는 주석이 달려있다.
268,피고(주위적),주위적 청구에 의해 소송의 대상이 되는 피고
269,피고대리인,"피고를 대신하여 소송을 진행하는 사람을 의미함. 피고가 직접 법정에 출석하지 않거나 소송을 수행할 수 없는 경우, 피고대리인은 법적 권한을 가지고 피고의 이익을 대변함"
270,피고보조참가인,원고의 주장에 대해 피고를 지원하기 위해 소송에 참여하는 제3자
271,피고보조참가인(상고인),적법 절차에서 피고의 입장을 보조하거나 지원하는 역할을 하는 참가인으로 원심 판결에 불복하여 상고를 제기한 당사자
272,피고보조참가인(선정당사자),"피고의 입장을 보조하거나 지원하기 위해 소송에 참여하는 제3자로, 법적 지위나 권리를 부여받은 경우"
273,피고보조참가인(피상고인),"법적 절차에서 피고의 입장을 보조하는 역할을 하는 제3자로, 주로 상고 절차에 참여하여 피고를 지원하는 경우이며, 제기된 상고의 대상자"
274,피고상대방,소송에서 피고와 대립하는 당사자
275,피고인,범죄를 범한 혐의로 법원에 기소된 자
276,피고종참가인,피고의 편에서 소송에 참가하는 제3자
277,피고지인,고지명령을 받은 개인이나 단체
278,피고참가인,피고의 편에서 소송에 참가하는 제3자
279,피고특별대리인,피고가 소송 절차를 진행하기 어려운 상황에서 피고를 대신하여 법적 절차를 수행하는 법원이 지정한 대리인
280,피공개·고지명령청구자,공개·고지 명령을 법원으로부터 청구받은 사람
281,피공소인,공소가 제기된 사건에서 피고로 지목된 사람
282,피보조참가인,피고의 이익을 보호하기 위해 참가하는 제3자
283,피보호관찰명령청구자,사회적 안전을 위해 보호관찰 명령을 요청하는 당사자
284,피부대상고인,특정한 사건에 대해 피고로서의 지위를 가지며 상고를 제기받는 인물이나 단체
285,피부착명령,"주로 성범죄나 특정 범죄를 저지른 자가 재범의 위험이 있을 때, 일정 기간 동안 위치추적 전자장치를 부착하도록 법원이 명령하는 것"
286,피부착명령청구인,전자발찌 부착 명령을 법원에 청구하는 사람으로 주로 검사나 사법당국
287,피부착명령청구자,전자발찌 등 특정 행위를 강제로 이행하도록 법원에 청구하는 당사자
288,피상고인,"상고 사건에서 상고인의 상대방으로, 상고인이 제기한 상고에 대해 방어하는 역할을 하는 사람"
289,피상고인원고,"상고 절차에서의 피고로, 상고인이 제기한 상고의 상대방으로 존재하는 원고로, 상고로 인해 원고가 다시 피고의 지위에 놓인 경우를 의미"
290,피상대방,소송 절차에서 상대방이 제기한 청구나 주장에 대해 대응하거나 방어해야 하는 사람
291,피상소인,미확정 재판에 대하여 상급법원에 구제를 구하는 불복신청인 상소 절차에서 상소 대상 당사자
292,피상속인,재산을 물려주는 사람
293,피수계인,소송의 당사자가 사망했을 때 권리나 의무를 승계하여 소송을 진행하는 사람
294,피수용자,"자유로운 의사에 반하여 국가, 지방자치단체, 공법인 또는 개인, 민간단체 등이 운영하는 의료시설ㆍ복지시설ㆍ수용시설ㆍ보호시설(이하 ""수용시설"")에 수용ㆍ보호 또는 감금되어 있는 자"
295,피신립인,신립의 대상이 되는 사람 (신립=위임=신탁)
296,피신청인,특정한 신청이나 청구에 대해 상대방으로서 응답해야 하는 당사자
297,피신청인(피고),신청이나 소송의 대상이 되는 당사자로 특정 법적 요청이나 주장에 대해 응답하거나 방어해야 하는 사람으로 민사소송에서 피고
298,피신청인(항고인),항고 절차에서 항고의 대상이 되는 사람
299,피신청인(항소인),항소 절차에서 항소의 대상이 되는 당사자
300,피심판청구인,"특정 심판 절차에서 피청구인으로서 참여하는 당사자로, 심판 청구에 대해 반박하거나 방어하는 사람"
301,피심판청구인승계참가인,심판의 대상이 된 청구인의 지위나 권리를 승계하여 해당 사건에 참여하는 사람
302,피의자,죄를 범한 혐의로 수사기관의 수사대상이 되어 있는 자로서 아직 공소(公訴)가 제기되지 않은 자
303,피인수신청인,"인수 청구의 대상이 되는 당사자로, 일반적으로 인수인이 특정 권리나 의무를 인수하기 위해 법원에 신청을 할 때, 그 인수의 상대방으로 지목되는 사람을 의미"
304,피재항고,재항고를 당한 상대방
305,피준항고인,"준항고를 제기한 당사자에 의해 불복당한 상대방을 의미하며, 준항고에 대해 방어하거나 이의 제기를 당한 당사자를 지칭"
306,피청구인,상대편에 대하여 일정한 행위나 급부를 요구하는 청구를 받는 대상자
307,피치료감호청구인,범죄를 저질렀지만 심신미약 또는 정신질환 등의 사유로 인해 형벌보다는 치료와 보호가 필요한 사람에 대해 치료감호를 청구하는 당사자
308,피치료감호치료명령피청구자,치료감호 명령에 대해 법원에서 조사되는 대상
309,피치료명령청구자,치료명령을 청구받은 사람
310,피특별상고인,"특별상고 절차에서의 피고로, 특별상고를 통해 불복하는 대상이 되는 자"
311,피항고심판청구인,"항고심판 절차에서 항고를 당한 측으로, 항고를 제기한 청구인의 항고에 대해 방어하는 당사자"
312,피항소인,항소 사건에서 항소인이 제기한 항소에 대응하는 사람
313,피항소인(탈퇴),항소 절차에서 피항소인이 소송에서 탈퇴하는 경우를 의미
314,피해자,"자신의 생명이나 신체, 재산, 명예 따위에 침해 또는 위협을 받은 사람"
315,항고,판결 이외의 재판인 결정이나 명령에 대한 불복신청
316,항고심판,특허 심판에서 행정 관청의 심판에 불복하여 제기한 상소를 재심하던 절차. 1995년에 특허법의 개정으로 폐지
317,항고심판청구인,특허 심판에서 행정 관청의 심판에 불복하여 제기한 상소를 재심을 신청한 자
318,항고심판피청구인,항고심판 절차에서 청구인이 제기한 항고에 대응하는 당사자
319,항고인,법원의 판결에 동의하지 않고 그보다 상급 법원에 다시 재판해 줄 것을 요청하는 사람
320,항고인(근저당권자),항고절차에서 장래에 생길 채권의 담보로서 저당권을 미리 설정 또는 그 저당권을 소유한 근저당권을 소유한 사람이 항고를 제기한 당사자
321,항고인(낙찰자),항고절차에서 낙찰받은 사람이 항고를 제기한 당사자
322,항고인(소유자),항고절차에서 소유한 사람이 항고를 제기한 당사자
323,항고인(신청인겸파산자),항고절차에서 소유한 사람이 항고를 제기한 당사자
324,항소,1심 판결에 대해 2심 법원에 다시 심리를 요청하는 절차
325,항소심,항소 사건에 대한 항소 법원의 심리
326,항소심당사자,항소심당사자는 항소를 통해 원심의 판결에 대해 이의를 제기하는 소송 절차에서의 당사자
327,항소인,하급심의 판결에 불복하여 항소를 제기하는 사람
328,항소인(탈퇴),항소 절차에서 항소인이 소송에서 소송절차에 더 이상 참여하지 않는 항소제기 당사자
329,행위자,실제로 의무위반행위를 한 사람 또는 의무위반행위와 직접 관련이 있는 사람
330,행정청,일반적으로는 행정관청을 말하는 것이지만 이것보다도 광의의 의미로 법령상 사용
