판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
211801,채무부존재확인,2020다227356,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211801&type=HTML&mobileYn=
212911,임금,2017다273663,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212911&type=HTML&mobileYn=
211797,관리비,2020다221020,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211797&type=HTML&mobileYn=
212905,요양불승인처분취소,2018두46155,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212905&type=HTML&mobileYn=
212915,대지권이전등기절차이행등청구의소,2019다30396,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212915&type=HTML&mobileYn=
211791,회생,2019그534,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211791&type=HTML&mobileYn=
211811,범죄단체조직·범죄단체가입·범죄단체활동·사기·사기방조·자동차관리법위반·위증[형법 제114조의 범죄집단조직·가입·활동 사건],2019도16263,2020.08.20,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211811&type=HTML&mobileYn=
211807,과징금부과처분취소,2019두63485,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211807&type=HTML&mobileYn=
212909,증여세등부과처분취소,2020두32227,2020.08.20,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212909&type=HTML&mobileYn=
211799,부당해고구제재심판정취소,2018두34480,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211799&type=HTML&mobileYn=
211785,임대차보증금[주택 재개발 정비사업 구역 내의 주택 임차인인 원고들이 사업시행자인 피고 조합을 상대로 구 도시 및 주거환경정비법 제44조 제2항에 따라 임대차보증금 반환을 구하는 사건],2017다260636,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211785&type=HTML&mobileYn=
214529,노동조합설립신고반려처분취소,2015구합68857,2020.08.20,서울행정법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214529&type=HTML&mobileYn=
234049,소유권이전등기,2019나116595,2020.08.20,대전지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=234049&type=HTML&mobileYn=
220959,손해배상(기)등,2020나2004216,2020.08.20,서울고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=220959&type=HTML&mobileYn=
213637,"수뢰후부정처사(일부 인정된 죄명: 뇌물수수), 공무상비밀누설, 증거인멸교사",2020노296,2020.08.20,서울고등법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213637&type=HTML&mobileYn=
211789,이사및감사지위확인,2018다249148,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211789&type=HTML&mobileYn=
220365,구상금,2020나11610,2020.08.20,대전고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=220365&type=HTML&mobileYn=
237099,상표법위반,2019노2260,2020.08.20,의정부지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=237099&type=HTML&mobileYn=
214373,양도소득세부과처분등취소,2017두30757,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214373&type=HTML&mobileYn=
211795,건물명도(인도)·손해배상(기),2019다296172,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211795&type=HTML&mobileYn=
211809,소득금액변동통지처분취소,2017두44084,2020.08.20,대법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211809&type=HTML&mobileYn=
212913,배당이의ㆍ배당이의,2020다38952,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212913&type=HTML&mobileYn=
212901,시정명령취소,2017두38553,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212901&type=HTML&mobileYn=
212907,부당해고구제재심판정취소,2017두52153,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=212907&type=HTML&mobileYn=
214395,공무집행방해·상해,2020도7193,2020.08.20,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214395&type=HTML&mobileYn=
211803,부당해고구제재심판정취소,2018두51201,2020.08.20,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211803&type=HTML&mobileYn=
211787,공유물분할·소유권이전등기,2018다241410,2020.08.20,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=211787&type=HTML&mobileYn=
