판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
200274,택지초과소유부담금부과처분취소,93누20771,1994.04.26,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200274&type=HTML&mobileYn=
200267,양수금,93다24223,1994.04.26,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200267&type=HTML&mobileYn=
110159,주택건설촉진법위반,93도3403,1994.04.26,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110159&type=HTML&mobileYn=
110111,거절사정,93후2028,1994.04.26,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110111&type=HTML&mobileYn=
110160,"군사기밀보호법위반,군사기밀누설",94도348,1994.04.26,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110160&type=HTML&mobileYn=
110108,이혼및위자료,93므1273,1994.04.26,대법원,가사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110108&type=HTML&mobileYn=
200283,토지초과이득세부과처분취소,93누18853,1994.04.26,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200283&type=HTML&mobileYn=
200275,제3자이의,93다5123,1994.04.26,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200275&type=HTML&mobileYn=
110129,개발부담금부과처분취소,92누19774,1994.04.26,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110129&type=HTML&mobileYn=
143724,취득세부과처분취소,93누9170,1994.04.26,대법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=143724&type=HTML&mobileYn=
110130,전라북도행정불만처리조례안무효확인,93추175,1994.04.26,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110130&type=HTML&mobileYn=
200290,부동산경락허가결정,93마719,1994.04.22,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200290&type=HTML&mobileYn=
145920,온천공굴착허가등취소신청거부처분취소청구사건,92구825,1994.04.22,대구고등법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145920&type=HTML&mobileYn=
223507,소유권이전등기말소청구사건,94머211,1994.04.21,춘천지방법원강릉지원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223507&type=HTML&mobileYn=
223033,청구이의사건,93가합2427,1994.04.21,부산지방법원울산지원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223033&type=HTML&mobileYn=
227567,상속재산분할청구사건,92느7359,1994.04.21,서울가정법원,가사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=227567&type=HTML&mobileYn=
222913,특정범죄가중처벌등에관한법률위반(특수강간등)(인정된죄명:강간치상방조등)등피고사건,94노39,1994.04.20,부산고등법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=222913&type=HTML&mobileYn=
146023,수사기록공개불가처분취소등,98구7831,1994.04.19,부산지방법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=146023&type=HTML&mobileYn=
145837,운임등청구사건,92나60491,1994.04.19,서울고등법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145837&type=HTML&mobileYn=
223063,손해배상(기)청구사건,93가합77840,1994.04.18,서울민사지방법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223063&type=HTML&mobileYn=
110084,손해배상(자),94다5502,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110084&type=HTML&mobileYn=
200296,부동산소유권이전등기,93다39850,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200296&type=HTML&mobileYn=
200291,소유권이전등기,93다61307,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200291&type=HTML&mobileYn=
110151,건축법위반,94도365,1994.04.15,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110151&type=HTML&mobileYn=
200293,토지수용재결처분무효확인,93누18594,1994.04.15,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200293&type=HTML&mobileYn=
200294,부동산경락허가결정,94마192,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200294&type=HTML&mobileYn=
200292,소유권이전등기,94다798,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200292&type=HTML&mobileYn=
189993,업무방해,93도2899,1994.04.15,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=189993&type=HTML&mobileYn=
199791,특허무효,90후1567,1994.04.15,대법원,특허,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199791&type=HTML&mobileYn=
110080,손해배상(기),93다60953,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110080&type=HTML&mobileYn=
199759,소유권이전등기,93다60120,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199759&type=HTML&mobileYn=
200295,매매계약무효확인등,93다39782,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200295&type=HTML&mobileYn=
146143,행정처분취소,93구614,1994.04.15,대전고등법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=146143&type=HTML&mobileYn=
110127,개발부담금부과처분취소,93누21071,1994.04.15,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110127&type=HTML&mobileYn=
110075,손해배상(기),92다25885,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110075&type=HTML&mobileYn=
110081,사고신고담보금지급,93다61000,1994.04.15,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110081&type=HTML&mobileYn=
